#data counter
261041.666667 1
13392.857143 2
150535.714286 3
358076.923077 4
208750.000000 5
2187.500000 6
428072.916667 7
286406.250000 8
293750.000000 9
708455.882353 10
15572.916667 11
161704.545455 12
395673.076923 13
170223.214286 14
153750.000000 15
159375.000000 16
5535.714286 17
269722.222222 18
163072.916667 19
287954.545455 20
284204.545455 21
150972.222222 22
243046.875000 23
156000.000000 24
81666.666667 25
5535.714286 26
304044.117647 27
277008.928571 28
394519.230769 29
10000.000000 30
