#data counter
917338.709677 1
666250.000000 2
739696.969697 3
459100.000000 4
504035.326087 5
493486.842105 6
195535.714286 7
832537.878788 8
759940.476190 9
914924.242424 10
832147.435897 11
957968.750000 12
465000.000000 13
725967.741935 14
1125194.444444 15
793669.354839 16
696854.166667 17
1078416.666667 18
600136.718750 19
683854.166667 20
485197.368421 21
759326.923077 22
486875.000000 23
823671.875000 24
1223000.000000 25
689490.740741 26
929736.842105 27
491857.142857 28
1157196.969697 29
930037.878788 30
