#data counter step time
100 1 1691 77.0
50 2 1875 90.0
100 3 1930 95.0
500 4 2014 102.0
100 5 2064 105.0
100 6 2065 105.0
100 7 2085 107.0
50 8 2091 107.0
150 9 2145 110.0
100 10 2148 110.0
150 11 2158 111.0
100 12 2160 111.0
75 13 2163 111.0
50 14 2166 111.0
75 15 2221 115.0
50 16 2233 116.0
75 17 2241 117.0
100 18 2249 118.0
50 19 2263 118.0
100 20 2307 121.0
100 21 2328 123.0
75 22 2365 126.0
100 23 2374 126.0
100 24 2382 127.0
50 25 2385 127.0
75 26 2387 127.0
500 27 2398 128.0
75 28 2414 129.0
50 29 2419 129.0
150 30 2458 132.0
100 31 2463 133.0
75 32 2467 133.0
500 33 2492 135.0
75 34 2499 136.0
100 35 2521 137.0
150 36 2524 137.0
50 37 2536 138.0
75 38 2543 139.0
50 39 2546 139.0
75 40 2560 141.0
150 41 2594 145.0
500 42 2596 145.0
50 43 2618 147.0
75 44 2636 148.0
75 45 2645 149.0
500 46 2652 150.0
100 47 2655 150.0
50 48 2659 151.0
500 49 2675 152.0
100 50 2692 154.0
75 51 2711 155.0
100 52 2717 156.0
100 53 2723 157.0
100 54 2735 158.0
150 55 2765 161.0
150 56 2790 164.0
500 57 2796 164.0
150 58 2797 164.0
100 59 2805 165.0
75 60 2806 165.0
500 61 2814 166.0
75 62 2819 166.0
500 63 2853 170.0
100 64 2856 170.0
500 65 2858 170.0
50 66 2861 170.0
150 67 2869 171.0
100 68 2871 172.0
100 69 2878 172.0
150 70 2894 174.0
50 71 2909 175.0
100 72 2915 176.0
150 73 2928 177.0
75 74 2958 179.0
75 75 2962 179.0
75 76 2970 180.0
100 77 2980 181.0
150 78 2983 181.0
150 79 2999 183.0
75 80 3007 184.0
100 81 3021 185.0
100 82 3022 185.0
50 83 3034 186.0
50 84 3056 188.0
100 85 3070 189.0
50 86 3104 192.0
500 87 3113 192.0
100 88 3124 193.0
150 89 3137 193.0
150 90 3161 195.0
100 91 3164 196.0
500 92 3224 200.0
50 93 3233 201.0
75 94 3237 201.0
150 95 3262 202.0
100 96 3270 203.0
150 97 3314 206.0
100 98 3316 206.0
75 99 3331 209.0
500 100 3332 209.0
100 101 3339 210.0
50 102 3352 212.0
150 103 3353 212.0
75 104 3366 214.0
500 105 3373 215.0
75 106 3384 216.0
150 107 3390 217.0
500 108 3405 220.0
50 109 3411 221.0
100 110 3413 221.0
150 111 3421 224.0
100 112 3428 226.0
150 113 3429 226.0
75 114 3435 227.0
75 115 3438 228.0
100 116 3441 229.0
75 117 3443 229.0
100 118 3453 231.0
100 119 3458 232.0
100 120 3461 232.0
150 121 3463 232.0
150 122 3466 232.0
100 123 3471 233.0
100 124 3473 233.0
75 125 3505 238.0
100 126 3513 242.0
100 127 3517 243.0
500 128 3522 245.0
500 129 3528 246.0
100 130 3530 246.0
150 131 3541 252.0
100 132 3547 254.0
75 133 3551 258.0
500 134 3552 258.0
100 135 3555 260.0
150 136 3563 264.0
500 137 3567 267.0
100 138 3584 275.0
75 139 3585 277.0
500 140 3596 281.0
75 141 3600 285.0
100 142 3602 287.0
500 143 3609 295.0
500 144 3612 302.0
50 145 3619 305.0
100 146 3622 306.0
500 147 3627 321.0
150 148 3631 323.0
50 149 3633 325.0
100 150 3651 375.0
100 151 3654 417.0
150 152 3660 428.0
50 153 3664 472.0
