#data counter step time
50 1 480 11.0
50 2 484 11.0
75 3 485 11.0
150 4 493 11.0
50 5 529 12.0
75 6 530 12.0
150 7 535 12.0
150 8 538 12.0
150 9 571 13.0
100 10 574 13.0
100 11 580 13.0
100 12 584 13.0
100 13 590 13.0
150 14 603 14.0
100 15 635 14.0
50 16 636 14.0
500 17 684 16.0
50 18 689 16.0
500 19 706 16.0
500 20 709 16.0
100 21 732 17.0
100 22 734 17.0
100 23 740 17.0
150 24 748 17.0
50 25 781 18.0
50 26 782 18.0
500 27 789 18.0
75 28 821 19.0
500 29 884 20.0
50 30 900 21.0
150 31 961 22.0
