#data counter
4282308.917197 1
3840368.589744 2
4180484.375000 3
3322673.611111 4
3652063.758389 5
2857909.902597 6
3421839.843750 7
3198693.548387 8
2969722.222222 9
3652087.500000 10
4483431.208054 11
3326544.117647 12
3493871.093750 13
3341048.387097 14
3444884.417808 15
3627563.694268 16
2384583.333333 17
3788555.900621 18
3033505.608974 19
4091776.729560 20
3326829.470199 21
3051147.203947 22
2858505.608974 23
4048310.917722 24
4254962.993421 25
4129677.672956 26
3516870.689655 27
4104172.185430 28
4214740.259740 29
4277187.500000 30
