#data counter step time
50 1 484 11.0
500 2 500 11.0
500 3 503 11.0
100 4 531 12.0
500 5 541 12.0
50 6 553 13.0
50 7 573 13.0
500 8 609 14.0
150 9 610 14.0
500 10 623 14.0
75 11 646 15.0
100 12 647 15.0
100 13 655 15.0
50 14 662 15.0
75 15 683 16.0
50 16 690 16.0
50 17 694 16.0
150 18 700 16.0
500 19 715 17.0
75 20 733 17.0
100 21 744 17.0
500 22 745 17.0
100 23 759 18.0
500 24 818 19.0
100 25 836 19.0
100 26 858 20.0
50 27 876 20.0
75 28 922 21.0
500 29 959 22.0
100 30 962 22.0
100 31 966 22.0
100 32 1017 23.0
50 33 1044 24.0
