#data counter step time
50 1 1805 82.0
100 2 1830 85.0
50 3 1872 88.0
500 4 1930 94.0
75 5 1975 98.0
150 6 1999 100.0
75 7 2016 101.0
150 8 2028 101.0
100 9 2086 106.0
100 10 2115 108.0
100 11 2153 110.0
75 12 2207 114.0
100 13 2284 119.0
50 14 2360 126.0
500 15 2364 126.0
50 16 2365 126.0
500 17 2375 127.0
50 18 2377 127.0
100 19 2393 128.0
75 20 2399 128.0
500 21 2403 128.0
100 22 2411 129.0
75 23 2447 131.0
75 24 2499 137.0
500 25 2514 138.0
150 26 2524 139.0
150 27 2527 139.0
50 28 2545 140.0
500 29 2546 140.0
75 30 2547 140.0
50 31 2548 140.0
100 32 2554 140.0
75 33 2557 141.0
150 34 2558 141.0
75 35 2578 142.0
100 36 2584 142.0
100 37 2633 145.0
75 38 2640 146.0
100 39 2697 152.0
500 40 2709 153.0
50 41 2715 153.0
100 42 2731 155.0
500 43 2732 155.0
100 44 2733 155.0
100 45 2738 155.0
100 46 2746 156.0
50 47 2748 156.0
50 48 2789 159.0
100 49 2805 161.0
500 50 2806 161.0
75 51 2823 163.0
150 52 2826 163.0
100 53 2833 164.0
50 54 2834 164.0
75 55 2851 165.0
500 56 2864 166.0
150 57 2877 168.0
500 58 2891 170.0
500 59 2905 171.0
150 60 2914 171.0
50 61 2916 171.0
100 62 2923 172.0
500 63 2924 172.0
150 64 2938 173.0
150 65 2954 174.0
50 66 2976 178.0
75 67 2980 178.0
500 68 3009 181.0
100 69 3011 181.0
150 70 3025 182.0
150 71 3034 183.0
50 72 3035 183.0
100 73 3041 183.0
100 74 3095 187.0
150 75 3098 187.0
100 76 3128 189.0
75 77 3138 190.0
150 78 3140 190.0
50 79 3144 190.0
100 80 3169 192.0
50 81 3183 193.0
75 82 3185 193.0
500 83 3189 193.0
50 84 3190 193.0
75 85 3256 198.0
150 86 3257 198.0
75 87 3266 198.0
50 88 3286 200.0
50 89 3314 202.0
50 90 3329 203.0
75 91 3351 204.0
100 92 3372 205.0
150 93 3392 207.0
50 94 3399 208.0
100 95 3401 208.0
500 96 3405 209.0
150 97 3440 213.0
150 98 3471 220.0
75 99 3484 222.0
100 100 3489 222.0
150 101 3509 226.0
50 102 3515 226.0
150 103 3521 227.0
100 104 3532 230.0
50 105 3533 230.0
50 106 3544 232.0
100 107 3548 233.0
50 108 3554 234.0
50 109 3564 235.0
75 110 3565 235.0
150 111 3572 236.0
150 112 3577 236.0
75 113 3578 236.0
500 114 3588 238.0
100 115 3606 241.0
100 116 3615 245.0
100 117 3616 245.0
150 118 3623 245.0
50 119 3635 249.0
100 120 3638 251.0
150 121 3640 251.0
75 122 3644 252.0
500 123 3646 252.0
50 124 3648 252.0
150 125 3663 261.0
75 126 3667 264.0
150 127 3669 265.0
75 128 3678 267.0
50 129 3685 269.0
50 130 3702 275.0
150 131 3709 278.0
500 132 3722 286.0
75 133 3724 286.0
75 134 3727 287.0
50 135 3733 288.0
100 136 3736 289.0
75 137 3739 290.0
500 138 3749 291.0
50 139 3754 294.0
500 140 3759 297.0
150 141 3763 297.0
100 142 3767 298.0
100 143 3792 309.0
100 144 3797 312.0
50 145 3801 313.0
50 146 3807 321.0
150 147 3810 324.0
100 148 3815 332.0
75 149 3824 339.0
50 150 3832 345.0
100 151 3833 345.0
50 152 3836 347.0
100 153 3844 358.0
100 154 3873 474.0
50 155 3879 533.0
